precise_ID,sample_id,study,project,condition,rep_id,Biological Replicates,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Time in phase [h],Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,DOI,GEO,Published,SRX,Run,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_replicate_correlations
SF_0001,DDB-I_SF_S1-001_A3,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],3,9,29/10/2020,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb-i_sf_s1-001:[DDB_ctrl]_[MG1655_WT]_[SF]_[A],TRUE
SF_0002,DDB-I_SF_S1-001_A4_RNAseq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],4,9,13/11/2020,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb-i_sf_s1-001:[DDB_ctrl]_[MG1655_WT]_[SF]_[A],TRUE
SF_0003,DDB-I_SF_S1-001_A5_RNAseq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],5,9,19/11/2020,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb-i_sf_s1-001:[DDB_ctrl]_[MG1655_WT]_[SF]_[A],TRUE
SF_0004,DDB-I_SF_S1-001_A6_RNAseq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],6,9,26/11/2020,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb-i_sf_s1-001:[DDB_ctrl]_[MG1655_WT]_[SF]_[A],TRUE
SF_0005,DDB-I_SF_S1-001_A4_RNAseq2,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],4,9,11/12/2020,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb-i_sf_s1-001:[DDB_ctrl]_[MG1655_WT]_[SF]_[A],TRUE
SF_0006,DDB-I_SF_S1-001_A8_RNAseq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],8,9,01/03/2021,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb-i_sf_s1-001:[DDB_ctrl]_[MG1655_WT]_[SF]_[A],TRUE
SF_0007,DDB-I_SF_S1-001_A7_RNA_seq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],7,9,20/05/2021,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb-i_sf_s1-001:[DDB_ctrl]_[MG1655_WT]_[SF]_[A],TRUE
SF_0008,DDB-I_SF_S1-001_B6_RNAseq_Control_1,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[BW25113_WT]_[SF]_[B],6,8,23/09/2021,Escherichia coli BW25113,DDB7,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb-i_sf_s1-001:[DDB_ctrl]_[BW25113_WT]_[SF]_[B],TRUE
SF_0009,DDB-I_SF_S1-001_B6_RNAseq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[BW25113_WT]_[SF]_[B],6,8,23/09/2021,Escherichia coli BW25113,DDB7,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb-i_sf_s1-001:[DDB_ctrl]_[BW25113_WT]_[SF]_[B],TRUE
SF_0010,DDB-I_SF_S1-001_B6_RNAseq_Control_2,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[BW25113_WT]_[SF]_[B],6,8,23/09/2021,Escherichia coli BW25113,DDB7,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb-i_sf_s1-001:[DDB_ctrl]_[BW25113_WT]_[SF]_[B],TRUE
