precise_ID,sample_id,study,project,condition,rep_id,Biological Replicates,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Time in phase [h],Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,DOI,GEO,Published,SRX,Run,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_replicate_correlations
DDB_0274,DDB_PD_038_AMBR_R5_S07_RNA_seq,DDB_PD_038_AMBR,ddb_pd_038,[DDB_PD_038]_[SDT64]_[Fed-batch]_[3h],1,2,26/04/2021,Escherichia coli MS56,SDT64,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,3,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_038:[DDB_PD_038]_[SDT64]_[Fed-batch]_[3h],TRUE
DDB_0275,DDB_PD_038_AMBR_R6_S07_RNA_seq,DDB_PD_038_AMBR,ddb_pd_038,[DDB_PD_038]_[SDT64]_[Fed-batch]_[3h],2,2,26/04/2021,Escherichia coli MS56,SDT64,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,3,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_038:[DDB_PD_038]_[SDT64]_[Fed-batch]_[3h],TRUE
DDB_0276,DDB_PD_038_AMBR_R5_S11_RNA_seq,DDB_PD_038_AMBR,ddb_pd_038,[DDB_PD_038]_[SDT64]_[Fed-batch]_[13h],1,2,26/04/2021,Escherichia coli MS56,SDT64,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,13,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_038:[DDB_PD_038]_[SDT64]_[Fed-batch]_[13h],TRUE
DDB_0277,DDB_PD_038_AMBR_R6_S11_RNA_seq,DDB_PD_038_AMBR,ddb_pd_038,[DDB_PD_038]_[SDT64]_[Fed-batch]_[13h],2,2,26/04/2021,Escherichia coli MS56,SDT64,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,13,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_038:[DDB_PD_038]_[SDT64]_[Fed-batch]_[13h],TRUE
DDB_0278,DDB_PD_045_AMBR_R17__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT178_del_cra]_[Batch]_[0h],1,2,11/06/2021,Escherichia coli BW25113,SDT178,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT178_del_cra]_[Batch]_[0h],TRUE
DDB_0279,DDB_PD_045_AMBR_R18__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT178_del_cra]_[Batch]_[0h],2,2,11/06/2021,Escherichia coli BW25113,SDT178,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT178_del_cra]_[Batch]_[0h],TRUE
DDB_0280,DDB_PD_045_AMBR_R13__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT176_del_csgD]_[Batch]_[0h],1,2,11/06/2021,Escherichia coli BW25113,SDT176,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT176_del_csgD]_[Batch]_[0h],TRUE
DDB_0281,DDB_PD_045_AMBR_R14__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT176_del_csgD]_[Batch]_[0h],2,2,11/06/2021,Escherichia coli BW25113,SDT176,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT176_del_csgD]_[Batch]_[0h],TRUE
DDB_0282,DDB_PD_045_AMBR_R19__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT179_del_fnr]_[Batch]_[0h],1,2,11/06/2021,Escherichia coli BW25113,SDT179,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT179_del_fnr]_[Batch]_[0h],TRUE
DDB_0283,DDB_PD_045_AMBR_R20__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT179_del_fnr]_[Batch]_[0h],2,2,11/06/2021,Escherichia coli BW25113,SDT179,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT179_del_fnr]_[Batch]_[0h],TRUE
DDB_0284,DDB_PD_045_AMBR_R11__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT175_del_fur]_[Batch]_[0h],1,2,11/06/2021,Escherichia coli BW25113,SDT175,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT175_del_fur]_[Batch]_[0h],TRUE
DDB_0285,DDB_PD_045_AMBR_R12__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT175_del_fur]_[Batch]_[0h],2,2,11/06/2021,Escherichia coli BW25113,SDT175,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT175_del_fur]_[Batch]_[0h],TRUE
DDB_0286,DDB_PD_045_AMBR_R01__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT169_del_nac]_[Batch]_[0h],1,2,11/06/2021,Escherichia coli BW25113,SDT169,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT169_del_nac]_[Batch]_[0h],TRUE
DDB_0287,DDB_PD_045_AMBR_R02__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT169_del_nac]_[Batch]_[0h],2,2,11/06/2021,Escherichia coli BW25113,SDT169,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT169_del_nac]_[Batch]_[0h],TRUE
DDB_0288,DDB_PD_045_AMBR_R15__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT177_del_proV]_[Batch]_[0h],1,2,11/06/2021,Escherichia coli BW25113,SDT177,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT177_del_proV]_[Batch]_[0h],TRUE
DDB_0289,DDB_PD_045_AMBR_R16__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT177_del_proV]_[Batch]_[0h],2,2,11/06/2021,Escherichia coli BW25113,SDT177,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT177_del_proV]_[Batch]_[0h],TRUE
DDB_0290,DDB_PD_045_AMBR_R07__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT173_del_prpR]_[Batch]_[0h],1,2,11/06/2021,Escherichia coli BW25113,SDT173,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT173_del_prpR]_[Batch]_[0h],TRUE
DDB_0291,DDB_PD_045_AMBR_R08__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT173_del_prpR]_[Batch]_[0h],2,2,11/06/2021,Escherichia coli BW25113,SDT173,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT173_del_prpR]_[Batch]_[0h],TRUE
DDB_0292,DDB_PD_045_AMBR_R05__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT172_del_purR]_[Batch]_[0h],1,2,11/06/2021,Escherichia coli BW25113,SDT172,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT172_del_purR]_[Batch]_[0h],TRUE
DDB_0293,DDB_PD_045_AMBR_R06__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT172_del_purR]_[Batch]_[0h],2,2,11/06/2021,Escherichia coli BW25113,SDT172,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT172_del_purR]_[Batch]_[0h],TRUE
