,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
b0002,0.0068531255757152305,-0.0010518580107687593,-0.012546443617619278,0.011862228088720606,0.02305866428816721,0.028529401061586544,0.049238057732687954,-0.0016142635592978137,-0.00752419752591518,0.011184742602439918,0.002338182905864741,0.02203554567040024,0.018884126640259027,0.04444450948674014,0.007494565858169511,0.013309432412791988,-0.013740238371393897,0.02412229331225858,-0.004056264729193347,-0.010290179325223907,0.029852744641924174,-0.004261851896943752,-0.013751399843871644,-0.000597130727138822,-0.006790119190176792,0.029287295812225063,0.013216344419062205,0.0021762609866522826,-0.010382052899621297,-0.008416568714735877,0.012661940433581069,0.0036908209720837655,-0.0015031742006879878,-0.03693246828224231,0.0004392904219805058,-0.014592505379471609,-0.00430169670742834,0.0037455034857413216,0.029618006769997266
b0003,0.002775516685226344,-0.005018963745417605,-0.009467844610232869,0.00520875062097553,0.00978084536366625,0.0484314140137458,0.028841695873347045,0.0014434145682115543,-0.009487045482317623,0.007502346107966465,0.0037934238402563473,0.014599219486922973,0.009937281470310835,0.02155529888971848,0.0071154717009351285,0.003134508070493132,-0.006656195066281566,0.021309471338419685,-0.002114733515306421,-0.008584466674680687,0.028649794775536103,-0.001319196391197463,-0.010181696623880474,0.00728981759162775,-0.006124009425739066,0.029028834016915726,7.556332493784057e-05,-0.0008991400780578561,-0.011391146496848798,-0.0067351595144065765,0.01663227543625544,0.0014676003235962586,0.0017485331400254936,-0.03134330991378068,0.002827879668741975,-0.016163511715865008,-0.011748589168660811,0.010049031741640856,0.03656647073787276
b0004,0.0025982967533459515,0.0078029809767341035,-0.01427987716840699,0.015986956449702817,0.00928702694191565,-0.0032720840229858205,0.0350754473496078,0.004572033561476194,-0.012952832187632485,0.008118088729080054,0.0021535105295774747,0.014373385514883028,0.011373885102280615,0.041147838401443045,0.01109209743734747,0.004106838276294735,-0.004828459825517838,0.024335922771369825,0.0039419646301291885,-0.005831345466808509,0.02950623282860568,0.0035717519670657363,-0.007820947401484524,0.004126536210832124,-0.0026314865868020624,0.030442131544768648,0.0014995801867047677,0.00047631761875697423,-0.010143087423820274,-0.0002327757403296604,0.005623983663270973,-0.011909296143427693,-0.004896974720285826,-0.02802789992641381,0.0011171650230715749,-0.012356978632363012,-0.013100651937894265,0.009133829018197927,0.03688177265555056
b0005,-0.0017383152880668742,0.014029320479914476,0.002797407792247506,0.07288745150685541,0.0011040003980921198,0.03256873529629454,0.026314397677898945,-0.011295443745138545,-0.017846399717477136,-0.005833423653414415,-0.0010891060985609396,0.013874387901994065,-0.0007198421110383768,0.004380447864306564,0.010748872659988237,-0.003935749861397869,0.005887951423545765,0.011674310459287723,0.0327248942628731,-0.01002181851157718,0.023931172412930746,0.0035738757936880517,-0.009184825439230743,-0.008581345250538499,0.028599674899434303,0.038565888137580905,0.019224755534252517,-0.02562308973749667,0.01566669705280033,-0.0011409319850540227,0.010115192298759878,0.008348714797877955,-0.004998449528780755,-0.021616826858717696,-0.011276417886372028,-0.036178695953264194,-0.0011361171845401525,-0.01422336642242734,0.022523330643196393
b0006,0.023070723408607715,0.015551247398308519,-9.465726616518168e-05,-0.011096946147306205,-0.0033656299501176167,-0.007750695137772707,-0.002914549102264777,0.0006797421238752521,-0.010399202433780109,-0.0004458135394763879,-0.014206156780040924,-0.023044420766777624,0.004276904255430775,0.004233609596561703,-0.005311813359784007,-0.009843309515520057,-0.012269799415244522,-0.015024127031781504,0.012444681948062069,-0.007567602262977102,0.00942397448294545,-0.005920692603958824,-0.003696555567834787,-0.016496895949732596,-0.004713737856074893,-0.0044348356816989445,-0.004122307008927141,-0.00022923726781956048,-0.008438540028755558,0.005305428275218942,0.0021270083494697046,-0.007056134463039674,-0.0034047084950311747,0.0004968310378878496,-0.008471744541183313,-0.0004735969885623638,0.01654134056501378,0.015071585280067504,0.005395679093750991
b0007,-0.025027053348754876,0.0018652518117051676,-0.008422472517659863,-0.021708024824301505,0.0008992494901368492,-0.0019004510324287238,-0.008996490890247354,-0.0072406727491231395,-0.0015778483014443892,-0.003527341147058466,-0.0027673705459485025,-0.00823709657104072,-0.00713417224688215,-0.0014458712723162009,0.0017640117250332466,-0.0012574464642902796,0.003315784569437586,0.015105396789338936,0.0032639206064006875,0.000998098242851701,0.00410987095185464,0.001839981304334553,-0.002564792765493819,0.0011354350186678034,-0.006420445598486545,0.0012747335235609744,0.007220953813199126,-0.0005015007592073655,-0.00312942763855128,0.017868413084418267,-0.017411069970475212,0.022117835156908575,-0.0011554842515638208,-0.005012435835418094,0.028423042933671008,0.005875506201148312,0.002800643501672726,-0.007167441142241335,-0.009183623856634055
b0008,-0.0009753208638667556,-0.00010837485288548732,-0.004902527311094743,0.009775937764870023,0.0007716404066900003,-0.0020907695632185032,0.006612973704964685,-0.001812352712187908,-0.0013856577312984036,-0.0009318657218828477,0.0028746017515878814,0.009545135755025948,0.003741024780712423,0.0015135339551954517,-0.0026261146390639477,-0.023463705714127602,-0.0056332697390585355,0.016757660865692307,-0.0014020060889769642,0.005356023192480554,0.011967768429053076,-0.009695917687261557,-0.0022738465785805194,-0.0186244056098784,-0.0041620126207159505,-0.0004008096224570839,-0.0008547192325203584,-0.005453565272094135,-0.0007909794498299298,0.0026266080849963644,0.025431827564151833,-0.03530613145716728,-0.0013774834151977255,-0.0019978721510840454,7.005401225717056e-05,-0.0015347316511490716,-0.0008534580786102109,-0.008629089977879827,0.0026513846402655304
b0009,-0.0029127416403844173,-0.0014664127024928294,-0.0010575937140729261,0.004523606580802918,-0.002311580001221846,-0.0006213389277866466,0.000883461625505466,-2.7982953784985495e-05,-0.001508301334253546,-0.005098546500143205,-0.0037117693992357627,0.0018829177248963788,0.0005605396915506638,-0.0007549229933727375,-0.0014605316876939046,-0.00845451815720564,-0.002578236675870701,-0.0010523274226528858,0.0036182159747245577,0.002615814648161333,0.002764135146027328,-0.008441157710301066,-0.0027912927557104676,0.003842241636469607,-0.0018374023169223602,0.002314893572970038,0.002039145388607668,-0.0020686482654891066,0.006688446191011987,0.003873679593758901,0.01382930070172095,-0.01812825917180484,0.0002925316642433541,-0.0011290589224097938,-0.002357420875097482,-0.0023338681512661626,-0.002083493791650716,-0.004304614221136174,-0.01001941053504995
b0010,-0.007758677704641181,0.003782900071681163,-0.006813443211534698,0.004501424433605708,0.0031485477207940068,0.00330219474540438,-0.011943096049283208,-0.012369324184161572,-0.0020325927449203096,-0.0057366271970537815,0.0014885014095221932,-0.006460772259638141,0.002456903975231128,-0.00220720601045408,0.005682130356474453,-0.007045426712807408,-0.00432029236226735,-0.007989355452007582,0.005323896996714947,0.004232430684341994,-0.0030207070241807985,-0.004669759693990695,-0.003970338707762485,-0.002752014490807205,0.001846932704317131,0.0033094080467065993,1.1252502126113292e-05,-0.002384271402739603,-0.005350083555569357,0.013343594410114136,-0.022386633131721786,-0.012232557182678865,-0.005295909295932682,5.1281747185763245e-05,0.0022963788656964073,0.0016403764423477544,-0.0021539508654664537,-6.20806542007835e-05,-0.011238714086612912
b0011,-0.002449296425648603,-0.003917578736532782,-0.0003445289604419599,0.004453569888614951,-0.0007960502706381599,-0.0008812124848006941,-0.0004888882017304207,-0.003944107971817429,0.0009151040620297602,-0.007841421729112808,-0.0001233366827175757,0.0007340575911641348,0.000660860995265651,-0.00118647060675211,0.001245529208971845,-0.0045942011281280325,-0.0018831102155566937,0.0011338334353805804,0.004735486723865772,0.0032462845070853836,-0.002327472286195892,-0.005610298819162509,-0.003228909480361675,0.00026527661234062303,-0.0004997050680318109,0.0024010519728734653,0.0032991223272872774,0.0003766857424907231,0.0007800295938741103,0.0019379527844640108,0.002027415190128924,0.0008153651551515493,0.00012409743207508184,-0.0014412140718665439,0.00026956877289095624,0.0014149272294779148,-0.0013385486107944022,0.00018411197076664276,-0.00647159356303268
b0012,-0.006333805580867222,-0.007839064135321237,-0.00785685690761425,0.012479983746187409,0.0075659162530630365,-0.005149063863747833,-0.005152974696201878,-0.007891382258049593,0.004060232724186769,-0.010769773531218543,0.0032094967504428546,0.011214207025198037,0.0005444196338473675,-0.007732270816929255,0.0023428741675970244,0.00748181300022743,-0.0012264223501286568,0.013416771009539988,0.007138187726953249,0.01041289677027639,-0.00222832693931886,-0.008425261810255224,-0.005081328168060895,0.0020270357131359504,0.007177141515016723,0.0005488229314109367,0.004699041726406376,-0.0008428354683492683,0.017328788427564388,-0.04765915091999604,0.005545994523222151,0.00519129904004605,-0.0016032672732095084,0.0003509714988775045,0.010866259044548021,0.005486943826227807,-0.0019253838203758245,0.007801233287833947,-0.0027283736979886583
b0013,-0.005122757541093227,-0.004255644931847705,-0.0013438480766123115,0.029898628217849096,-0.00047240264908586163,-0.001375370765159173,-0.0013923966266948806,-0.009227307601253187,-0.0008774188850809722,-0.0076406535879130835,-0.0006685005653096307,-0.00062966196884153,0.0001722093934935287,0.0030907836291578176,0.0020097675801387495,-0.005648717273519394,-0.0017429052258358454,-0.00136916437653257,0.0061938634735611365,0.0030286291630994278,-0.0011724796755329947,-0.007221791474047518,-0.0036554253635340834,0.00041369397077111456,-0.0003053027127207975,0.002878050222958313,0.002694522051187486,-0.0018036988486713971,0.0035642192746125263,0.0017275150889132069,-0.0015855577836230484,0.0005084952674894208,-0.000621312121807366,-0.0009527018133707394,-0.0026117108897132386,0.0014896064670381142,0.0006101198928039781,0.00844932703246473,-0.0010292443498054681
